Cluster ID,confidence_score,price,style,link,name
1726,,66.99,,http://www.emporioveredas.com.br/kit-erdinger-2-cervejas-1-copo.html,Kit Erdinger Natal - Christmas Edition
1727,,23.99,Quaddrupel,http://www.emporioveredas.com.br/cerveja-straffe-hendrick-tripel-330ml-1603.html,Cerveja Straffe Hendrick Quadrupel 330ml
1728,,24,Witbier,http://www.emporioveredas.com.br/cerveja-caracole-troublette-330ml.html,Cerveja Caracole Troublette 330ml
1729,,31.5,Sauer,http://www.emporioveredas.com.br/cerveja-bockor-cuvee-des-jacobins-rouge-330ml.html,Cerveja Bsockor Cuvee Des Jacobins Rouge 330ml
1730,,18.2,Fruit Beer,http://www.emporioveredas.com.br/cerveja-bockor-jacobins-kriek-250ml.html,Cerveja Bockor Jacobins Kriek 250ml
1731,,224.3,Strong Ale,http://www.emporioveredas.com.br/cerveja-abaye-des-rocs-grand-cru-1-5-litros.html,Cerveja Abbaye Des Rocs Grand Cru 1.5 Litros
1732,,25.99,APA,http://www.emporioveredas.com.br/cerveja-wijsbier-blonde-poes-american-pale-ale-355ml.html,Cerveja Wijsbier Blonde Poes American Pale Ale 355ml
1733,,14.99,Brown Ale,http://www.emporioveredas.com.br/cerveja-barrel-trolley-nut-brown-ale-355ml-1620.html,Cerveja Barrel Trolley Amber Ale 355ml
1734,,23.99,Sem Glúten,http://www.emporioveredas.com.br/cerveja-glutenberg-red-ale-sem-gluten-473ml.html,Cerveja Glutenberg Blond Sem Glúten - 473ml
1735,,14.99,Pale Ale   ,http://www.emporioveredas.com.br/cerveja-barrel-trolley-amber-ale-355ml.html,Cerveja Barrel Trolley Pale Ale 355ml
1736,,14.99,Brown Ale,http://www.emporioveredas.com.br/cerveja-barrel-trolley-nut-brown-ale-355ml.html,Cerveja Barrel Trolley Nut Brown Ale 355ml
1737,,14.99,India Pale Ale,http://www.emporioveredas.com.br/cerveja-barrel-trolley-pale-ale-355ml.html,Cerveja Barrel Trolley Ipa 355ml
1738,,14.99,Witbier,http://www.emporioveredas.com.br/cerveja-barrel-trolley-belgian-white-355ml.html,Cerveja Barrel Trolley Belgian White Witbier 355ml
1739,,22.99,India Pale Ale,http://www.emporioveredas.com.br/cerveja-horny-goat-tango-delta-tangerine-ipa-375ml.html,Cerveja Horny Goat Tango Delta Tangerine Ipa 375ml
1740,,39.3,India Pale Ale,http://www.emporioveredas.com.br/cerveja-brewdog-hoppy-christmans-ipa-355ml.html,Cerveja Brewdog Hoppy Christmans Ipa 355ml
1741,,35.9,Saison,http://www.emporioveredas.com.br/cerveja-brewdog-electric-india-saison-330ml.html,Cerveja Brewdog Electric India Saison - 330ml
1742,,39.6,Strong Ale,http://www.emporioveredas.com.br/cerveja-samuel-smith-india-ale-500-ml.html,Cerveja Samuel Smith India Ale 500 Ml
1743,,39.6,Oatmeal Stout,http://www.emporioveredas.com.br/cerveja-samuel-smith-the-celebrated-oatmeal-stout-550ml.html,Cerveja Samuel Smith The Celebrated Oatmeal Stout 550ml
1744,,36.2,Witbier,http://www.emporioveredas.com.br/cerveja-mikkeller-hoppy-wit-355ml.html,Cerveja Mikkeller Brewed For Brazil Hoppy Wit 355ml
1745,,26.9,Pale Ale   ,http://www.emporioveredas.com.br/cerveja-anderson-valley-poleeko-pale-ale-355ml.html,Cerveja Anderson Valley Poleeko Pale Ale 355ml
1746,,22.9,Amber Ale,http://www.emporioveredas.com.br/cerveja-anderson-valley-boont-amber-ale-lata-355ml-1549.html,Cerveja Anderson Valley Boont Amber Ale 355ml
1747,,36.2,APA,http://www.emporioveredas.com.br/cerveja-mikkeller-apa-brewed-for-brazil-355ml.html,Cerveja Mikkeller Apa Brewed For Brazil 355ml
1748,,36.2,Lager,http://www.emporioveredas.com.br/cerveja-mikkeller-brewed-for-brazil-hop-lager-355ml.html,Cerveja Mikkeller Brewed For Brazil Hop Lager 355ml
1749,,36.2,Session IPA,http://www.emporioveredas.com.br/cerveja-mikkeller-brewed-for-brazil-session-ipa-355ml.html,Cerveja Mikkeller Brewed For Brazil Session Ipa 355ml
1750,,33.99,Porter,http://www.emporioveredas.com.br/cerveja-evil-twin-p2-330ml.html,Cerveja Evil Twin P2 330ml
1751,,12.99,Fruit Beer,http://www.emporioveredas.com.br/cerveja-schofferhofer-grapefruit-hefeweizen-330ml.html,Cerveja Schofferhofer Grapefruit Hefeweizen 330ml
1752,,19.99,Helles,http://www.emporioveredas.com.br/cerveja-ayinger-bairisch-pils-330ml-1370.html,Cerveja Ayinger Jahrhundert Bier 500 Ml
1753,,55.9,Belgian Saison,http://www.clubeer.com.br/cerveja/585915-farm-out-saison,Farm Out Saison
1754,,28.87,Belgian Strong Golden Ale,http://www.clubeer.com.br/cerveja/610027-duvel-tripel-hop-2015,Duvel Tripel Hop 2015
1755,,22.99,Tripel,http://www.emporioveredas.com.br/cerveja-val-dieu-tripel-330ml.html,Cerveja Val-dieu Tripel 330ml
1756,,23.9,Hefe-Weizenbier,http://www.clubeer.com.br/cerveja/610298-domina-weiss,Domina Weiss
1757,,19.99,Dunkel,http://www.emporioveredas.com.br/cerveja-ayinger-bairisch-pils-330ml-1371.html,Cerveja Ayinger Altbairisch Dunkel 500 Ml
1758,,22.99,Dubbel,http://www.emporioveredas.com.br/cerveja-val-dieu-brune-330ml.html,Cerveja Val-dieu Brune Dubbel 330ml
1759,,20.99,Blond Ale,http://www.emporioveredas.com.br/cerveja-val-dieu-blond-330ml.html,Cerveja Val-dieu Blond 330ml
1760,,31,Brown Ale,http://www.emporioveredas.com.br/cerveja-brew-dog-libertine-black-ale-330ml.html,Cerveja Brewdog Libertine Black Ale 330ml
1761,,12.99,Sem Alcool,http://www.emporioveredas.com.br/cerveja-clausthaler-sem-alcool-330ml-1386.html,Cerveja Clausthaler Lemon Sem Alcool 330ml
1762,,12.99,Sem Alcool,http://www.emporioveredas.com.br/cerveja-clausthaler-sem-alcool-330ml.html,Cerveja Clausthaler Sem Alcool 330ml
1763,,27.99,Saison,http://www.emporioveredas.com.br/cerveja-stillwater-cellar-door-355ml-1388.html,Cerveja Stillwater Existent 355ml
1764,,25.99,Saison,http://www.emporioveredas.com.br/cerveja-stillwater-existent-355ml-1390.html,Cerveja Stillwater Classique Saison Lata 355ml
1765,,11.99,Lager,http://www.emporioveredas.com.br/cerveja-francesa-boris-250ml.html,Cerveja Francesa Boris 250ml
1766,,19.99,Blond Ale,http://www.emporioveredas.com.br/cerveja-maredsous-blond-330ml.html,Cerveja Maredsous Blond 330ml
1767,,22.99,Dubbel,http://www.emporioveredas.com.br/cerveja-maredsous-blond-330ml-1400.html,Cerveja Maredsous Brune 8 - 330ml
1768,,16.33,India Pale Ale,http://www.clubeer.com.br/cerveja/581603-mula-ipa,Mula IPA
1769,,24.99,India Pale Ale,http://www.emporioveredas.com.br/cerveja-ewil-twin-falco-india-pale-ale-ipa-355ml-1440.html,Cerveja Ewil Twin Metro Man 355ml
1770,,23.99,Tripel,http://www.emporioveredas.com.br/cerveja-maredsous-blond-330ml-1443.html,Cerveja Maredsous Tripel - 330ml
1771,,24.99,Strong Ale,http://www.emporioveredas.com.br/cerveja-chimay-blue-cap-330ml-1458.html,Cerveja Chimay Dorée Goud 330ml
1772,,19.99,Quaddrupel,http://www.emporioveredas.com.br/cerveja-van-streenberg-gulden-draak-330ml-1459.html,Cerveja Van Streenberg Gulden Draak 9000 Quadruppel 330ml
1773,,28.99,Strong Ale,http://www.emporioveredas.com.br/cerveja-de-molen-alive-kicking-330ml-1476.html,Cerveja De Mollen Amerikaans 330ml
1774,,68.99,Pilsner,http://www.emporioveredas.com.br/kit-cerveja-faxe-c-caneca-1-litro.html,Kit Cerveja Faxe C/ Caneca 1 Litro
1775,,16.99,India Pale Ale,http://www.emporioveredas.com.br/cerveja-brooklyn-east-india-pale-ale-355ml-1495.html,Cerveja Brooklyn India Pale Ale Lata 473ml
1776,,36.2,APA,http://www.emporioveredas.com.br/cerveja-mikkeller-brewed-for-brazil-brett-apa-355ml.html,Cerveja Mikkeller Brewed For Brazil Brett Apa 355ml
1777,,36.2,India Pale Ale,http://www.emporioveredas.com.br/cerveja-mikkeller-brewed-for-brazil-coffee-ipa-355ml.html,Cerveja Mikkeller Brewed For Brazil Coffee Ipa 355ml
1778,,18.99,Weiss ,http://www.emporioveredas.com.br/cerveja-maisel-original-hefe-weisse-500.html,Cerveja Maisel Original Hefe Weisse 500ml
1779,,23.99,Strong Ale,http://www.emporioveredas.com.br/cerveja-kwak-belgian-amber-330ml.html,Cerveja Kwak Belgian Amber 330ml
1780,,27.99,,http://www.emporioveredas.com.br/cerveja-judas-330-ml.html,Cerveja Judas 330 Ml
1781,,24.99,Golden Ale,http://www.emporioveredas.com.br/cerveja-hooky-gold-500-ml.html,Cerveja Hooky Gold 500 Ml
1782,,24.99,Strong Ale,http://www.emporioveredas.com.br/cerveja-hook-twelve-days-500-ml.html,Cerveja Hook Twelve Days 500 Ml
1783,,24.99,India Pale Ale,http://www.emporioveredas.com.br/cerveja-hook-flagship-500-ml.html,Cerveja Hook Flagship 500ml
1784,,25.99,Pale Ale   ,http://www.emporioveredas.com.br/cerveja-van-streenberg-augustjin-blond-330ml.html,Cerveja Van Steenberg Augustjin Blond 330ml
1785,,25.99,Golden Ale,http://www.emporioveredas.com.br/cerveja-van-steemberg-augustjin-grand-cru-330ml.html,Cerveja Van Steemberg Augustjin Grand Cru 330ml
1786,,38.39,India Pale Ale,http://www.emporioveredas.com.br/cerveja-mikkeller-k-rlek-forar-sommer-2013.html,Cerveja Mikkeller K:rlek Forar  Sommer 2013
1787,,33.99,India Pale Ale,http://www.emporioveredas.com.br/cerveja-mikkeller-sort-gul.html,Cerveja Mikkeller Sort Gul 
1788,,33.99,Strong Ale,http://www.emporioveredas.com.br/cerveja-mikkeller-monk-s-brew.html,Cerveja Mikkeller  Monk´s Brew
1789,,19.8,Wheat Beer,http://www.emporioveredas.com.br/cerveja-sea-dog-wild-blueberry-wheat-ale-355ml.html,Cerveja Sea Dog Wild Blueberry Wheat Ale - 355ml
1790,,30.99,Strong Ale,http://www.emporioveredas.com.br/cerveja-delirium-la-mere-noel-330ml.html,Cerveja Delirium La Mere Noel 330ml
1791,,15.4,India Pale Ale,http://www.emporioveredas.com.br/cerveja-shipyard-fuggles-ipa-355ml.html,Cerveja Shipyard Fuggles Ipa 355ml
1792,,15.1,Stout,http://www.emporioveredas.com.br/cerveja-shipyard-blue-fin-stout-355ml.html,Cerveja Shipyard Blue Fin Stout 355ml
1793,,15.1,Pale Ale   ,http://www.emporioveredas.com.br/cerveja-shipyard-chamberlain-pale-ale-355ml.html,Cerveja Shipyard Chamberlain Pale Ale 355ml
1794,,14.1,Blond Ale,http://www.emporioveredas.com.br/cerveja-shipyard-export-blond-ale-355ml.html,Cerveja Shipyard Export Blond Ale 355ml
1795,,49,India Pale Ale,http://www.emporioveredas.com.br/cerveja-shipyard-xxxx-ipa-650ml.html,Cerveja Shipyard Xxxx Ipa - 650ml
1796,,49,Fruit Beer,http://www.emporioveredas.com.br/cerveja-shipyard-smashed-blueberry-650ml.html,Cerveja Shipyard Smashed Blueberry 650ml
1797,,18.2,Scotch ALe,http://www.emporioveredas.com.br/cerveja-adnams-broadside-500ml.html,Cerveja Adnams Broadside 500ml
1798,,16.4,India Pale Ale,http://www.emporioveredas.com.br/cerveja-adnams-innovation-330ml.html,Cerveja Adnams Innovation 330ml
1799,,20.7,Golden Ale,http://www.emporioveredas.com.br/cerveja-adnams-spindrift-330ml.html,Cerveja Adnams Spindrift 330ml
1800,,24.5,Pale Ale   ,http://www.emporioveredas.com.br/cerveja-adnams-ghostship-500ml.html,Cerveja Adnams Ghostship 500ml
1801,,24.5,Bitter,http://www.emporioveredas.com.br/cerveja-adnams-southwold-bitter.html,Cerveja Adnams Southwold Bitter
1802,,20.7,Barley wine,http://www.emporioveredas.com.br/cerveja-adnams-tally-ho.html,Cerveja Adnams Tally Ho
1803,,22.8,Lager,http://www.emporioveredas.com.br/cerveja-adnams-lager-dry-hopped-330ml.html,Cerveja Adnams Lager Dry Hopped 330ml
1804,,20.7,India Pale Ale,http://www.emporioveredas.com.br/cerveja-adnams-rye-ipa-330ml.html,Cerveja Adnams Rye Ipa 330ml
1805,,15.4,Fruit Beer,http://www.emporioveredas.com.br/cerveja-sea-dog-wild-blueberry-wheat-ale-lata-355ml.html,Cerveja Sea Dog Wild Blueberry Wheat Ale Lata 355ml
1806,,27.99,India Pale Ale,http://www.emporioveredas.com.br/cerveja-coronado-islander-ipa-355ml.html,Cerveja Coronado Islander Ipa 355ml
1807,,26.99,Red Ale,http://www.emporioveredas.com.br/cerveja-prohibition-speakeasy-ale-355ml.html,Cerveja Prohibition Speakeasy Ale 355ml
1808,,18.99,,http://www.emporioveredas.com.br/cerveja-faxe-extra-strong-1-litro-lata-1252.html,Cerveja Faxe Royal Extra Strong 1 Litro Lata
1809,,16.99,India Pale Ale,http://www.emporioveredas.com.br/cerveja-dundee-india-pale-ale-355ml.html,Cerveja Dundee India Pale Ale 355ml
1810,,13.99,Fruit Beer,http://www.emporioveredas.com.br/cerveja-magners-pear-355ml.html,Cerveja Magners Pear 355ml
1811,,13.99,Fruit Beer,http://www.emporioveredas.com.br/cerveja-magners-berry-355ml.html,Cerveja Magners Berry 355ml
1812,,18.99,Brown Ale,http://www.emporioveredas.com.br/cerveja-wells-toffee-sticky-pudding-ale-500ml.html,Cerveja Wells Toffee Sticky Pudding Ale - 500ml
1813,,64.99,Saison,http://www.emporioveredas.com.br/cerveja-eviltwin-ron-and-the-beast-ryan-650ml.html,Cerveja Eviltwin Ron And The Beast Ryan - 650ml
1814,,17.6,Blond Ale,http://www.emporioveredas.com.br/cerveja-dubuisson-bush-blonde-330ml.html,Cerveja Dubuisson Bush Blonde 330ml
1815,,22.4,Tripel,http://www.emporioveredas.com.br/cerveja-silly-abbaye-de-forest-330ml.html,Cerveja Silly Abbaye De Forest 330ml
1816,,23.5,Scotch ALe,http://www.emporioveredas.com.br/cerveja-silly-scotch-silly-330ml.html,Cerveja Silly Scotch Ale 330ml
1817,,18.99,,http://www.emporioveredas.com.br/cerveja-de-koninck-330ml.html,Cerveja De Koninck 330ml 
1818,,8.99,Pilsner,http://www.emporioveredas.com.br/cerveja-mahou-5-estrelas-330ml.html,Cerveja Mahou 5 Estrelas 330ml 
1819,,21.99,,http://www.emporioveredas.com.br/cerveja-trappist-rochefort-330ml-860.html,Cerveja Trappist Rochefort 8 - 330ml 
1820,,18.99,Dubbel,http://www.emporioveredas.com.br/cerveja-trappist-rochefort-330ml.html,Cerveja Trappist Rochefort 6 - 330ml 
1821,,22.99,,http://www.emporioveredas.com.br/cerveja-trappist-orval-330ml.html,Cerveja Trappist Orval 330ml 
1822,,21.99,Pilsner,http://www.emporioveredas.com.br/cerveja-mongozo-premium-pilsen-box-330ml.html,Cerveja Mongozo Pilsen Sem Gluten 330ml 
1823,,24.99,Tripel,http://www.emporioveredas.com.br/cerveja-trappist-westmalle-tripel-330ml.html,Cerveja Trappist Westmalle Tripel 330ml 
1824,,20.99,Dubbel,http://www.emporioveredas.com.br/cerveja-trappist-westmalle-dubbel-330ml.html,Cerveja Trappist Westmalle Dubbel 330ml 
1825,,26.99,Quaddrupel,http://www.emporioveredas.com.br/cerveja-trappist-rochefort-330ml-861.html,Cerveja Trappist Rochefort 10 330ml 
1826,,51.99,,http://www.emporioveredas.com.br/cerveja-leuven-blanche-witbier-750-ml.html,Cerveja Leuven Blanche Witbier 750 Ml 
1827,,51.99,Dubbel,http://www.emporioveredas.com.br/cerveja-leuven-dubbel-belgian-ale-750ml.html,Cerveja Leuven Dubbel Belgian Ale 750ml 
1828,,18.99,,http://www.emporioveredas.com.br/cerveja-green-flash-saison-diego-650ml.html,Cerveja Green Flash Saison Diego 355ml 
1829,,24.99,,http://www.emporioveredas.com.br/cerveja-green-flash-friendship-355ml.html,Cerveja Green Flash Friendship 355ml 
1830,,24.99,,http://www.emporioveredas.com.br/cerveja-green-flash-le-freak-355ml.html,Cerveja Green Flash Le Freak 355ml 
1831,,26.99,India Pale Ale,http://www.emporioveredas.com.br/cerveja-viven-imperial-ipa-330ml.html,Cerveja Viven Imperial Ipa 330ml 
